Zubař Mělník,http://www.zubarmelnik.cz/,"9	Vlastni reseni (Alpine.js, vanilla CSS/JS, bez CMS)","#4FA8E0, #111111, #FFF8DC","Tlacitko Novy pacient zustava aktivni i pres upozorneni, ze ordinace nove pacienty aktualne neprijima.",,,,,,,,,,,,,,,,,,,
Dragoun Martin MUDr. - stomatologická ordinace,http://www.zubnilekar-louny.cz/,"9	Moderní SPA (platforma Macaly, React-based build)	#14B8A6, #0F172A, #FEF3C7	Hlavní CTA „Objednat se“ ztrácí smysl, protože banner hned pod ním sděluje, že ordinace nové pacienty nepřijímá.",,,,,,,,,,,,,,,,,,,,,
Zubní Centrum Poděbrady,http://zcpodebrady.cz/,"8	WordPress 7.0.2, tema GeneratePress, GP Premium","#2B1D14, #8FA31E, #FFFFFF","Webu chybi detailnejsi obsah jako cenik nebo recenze pacientu, ktery by budoval duveru pred prvni navstevou.",,,,,,,,,,,,,,,,,,,
HK Dent,http://www.hkdentdecin.cz/,"8	WordPress 7.0.2, téma Astra, Elementor Pro	#1A8A9A, #17323D, #FFFFFF	Spoléhá na Elementor Pro s množstvím pluginů, což může zpomalovat načítání stránky.",,,,,,,,,,,,,,,,,,,,,
MDDr. Kateřina Popovičová,http://www.zubarkapodebrady.cz/,7	Nicepage 6.14.4 (staticky website builder),"#4A90D9, #4A5568, #FFFFFF",Pouziva generickou rozmazanou stock fotografii na pozadi a chybi mu osobitejsi vizualni identita ordinace.,,,,,,,,,,,,,,,,,,,
Dentální hygiena Eldent,http://www.el-dent.cz/,"7	Bootstrap + jQuery, Google Fonts (Poppins), Fancybox	#8CC63F, #6A2C70, #FFFFFF	Patič web má copyright z roku 2018 a stojí na starším jQuery/Bootstrap stacku bez aktualizací.",,,Web má v patičce copyright z roku 2018 a stojí na starším jQuery/Bootstrap stacku bez viditelných aktualizací.,,,,,,,,,,,,,,,,,,
MUDr. Peter Broďáni,http://www.brodani.cz/kontakt/,"6	Webnode 2 (website builder)	#2563EB, #7C3AED, #FFFFFF	Hlavní vizuál používá rozmazanou/nekvalitní fotografii na pozadí a působí jako generé Webnode šablona bez vlastního stylu.",,,Hlavní vizuál používá rozmazanou fotografii na pozadí a působí jako typová Webnode šablona bez vlastního stylu.,,,,,,,,,,,,,,,,,,
"Libuše Martinková Dis, Dentální hygiena Poděbrady",http://dhpodebrady.cz/,4	WordPress 5.6.17 (zastarale),"#333333, #4A6D8C, #FFFFFF",Text v uvodnim slideru ma nizky kontrast na rusive stock fotografii a pod nim zeje velka prazdna plocha.,,,,,,,,,,,,,,,,,,,
MDDr. Adam Misař - Zubař Poděbrady,http://www.zubarpodebrady.cz/,4	WordPress 5.1.19 (zastarale),"#4FBEB6, #333333, #FFFFFF","Hlavni banner s nazvem ordinace je vypaleny jako staticky obrazek misto textu, coz skodi SEO i responzivite.",,,,,,,,,,,,,,,,,,,
Poliklinika Louny,http://www.poliklinikalouny.cz/,"4	WordPress 4.9.26 (zastaralé), WPBakery Page Builder","#123A5A, #6EBE44, #FFFFFF","Web bezi na kriticky zastarale verzi WordPress 4.9 z roku 2017, coz predstavuje vazne bezpecnostni riziko.",,,,,,,,,,,,,,,,,,,
